neighbourhood,bedrooms,total
Acacias,0,3
Acacias,1,52
Acacias,2,12
Acacias,3,4
Acacias,4,1
Adelfas,0,4
Adelfas,1,20
Adelfas,2,9
Adelfas,3,1
Adelfas,4,1
Almagro,0,9
Almagro,1,65
Almagro,2,19
Almagro,3,4
Almagro,4,7
Almenara,0,6
Almenara,1,29
Almenara,2,5
Almenara,3,2
Aluche,0,6
Aluche,1,161
Aluche,2,42
Aluche,3,13
Aluche,4,2
Aluche,5,1
Arapiles,0,19
Arapiles,1,77
Arapiles,2,12
Arapiles,3,7
Arapiles,4,1
Arganzuela,1,14
Argüelles,0,16
Argüelles,1,130
Argüelles,2,45
Argüelles,3,16
Argüelles,4,4
Argüelles,5,4
Argüelles,6,1
Argüelles,10,1
Atocha,1,4
Atocha,3,1
Atocha,4,1
Barajas,1,38
Barajas,2,8
Barajas,3,1
Barajas,4,4
Bellas Vistas,0,5
Bellas Vistas,1,34
Bellas Vistas,2,9
Bellas Vistas,3,1
Berruguete,0,2
Berruguete,1,30
Berruguete,2,7
Berruguete,3,2
Carabanchel,0,2
Carabanchel,1,150
Carabanchel,2,25
Carabanchel,3,20
Carabanchel,4,1
Castellana,0,3
Castellana,1,35
Castellana,2,21
Castellana,3,7
Castellana,4,3
Castilla,0,2
Castilla,1,13
Castilla,2,5
Castilla,3,1
Castilla,4,1
Castillejos,0,5
Castillejos,1,38
Castillejos,2,9
Castillejos,3,2
Castillejos,4,2
Centro,0,1
Centro,1,15
Centro,2,3
Centro,3,2
Chamberí,1,16
Chamberí,2,5
Chamberí,3,1
Ciudad Jardin,0,1
Ciudad Jardin,1,21
Ciudad Jardin,2,6
Ciudad Jardin,3,5
Ciudad Lineal,0,4
Ciudad Lineal,1,126
Ciudad Lineal,2,36
Ciudad Lineal,3,9
Ciudad Lineal,4,2
Cortes,0,90
Cortes,1,317
Cortes,2,111
Cortes,3,21
Cortes,4,9
Cortes,5,2
Cortes,7,1
Cortes,8,3
Cortes,2012,1
Cuatro Caminos,0,3
Cuatro Caminos,1,55
Cuatro Caminos,2,15
Cuatro Caminos,3,2
Delicias,0,2
Delicias,1,46
Delicias,2,9
Delicias,3,4
Delicias,4,2
Delicias,5,1
El Tréntaiseis,0,1
El Tréntaiseis,1,3
El Tréntaiseis,2,6
El Tréntaiseis,3,3
El Viso,0,2
El Viso,1,23
El Viso,2,5
El Viso,3,3
Embajadores,0,98
Embajadores,1,513
Embajadores,2,126
Embajadores,3,40
Embajadores,4,10
Embajadores,5,4
Estrella,1,9
Estrella,3,3
Fuencarral-el Pardo,0,3
Fuencarral-El Pardo,1,59
Fuencarral-el Pardo,2,13
Fuencarral-el Pardo,3,6
Fuencarral-el Pardo,5,1
Fuencarral-el Pardo,8,1
Fuente del Berro,0,2
Fuente del Berro,1,32
Fuente del Berro,2,12
Fuente del Berro,3,3
Gaztambide,0,2
Gaztambide,1,71
Gaztambide,2,7
Gaztambide,3,7
Gaztambide,4,1
Gaztambide,5,2
Gaztambide,6,1
Gaztambide,10,2
Goya,0,6
Goya,1,82
Goya,2,58
Goya,3,12
Goya,4,1
Guindalera,0,8
Guindalera,1,99
Guindalera,2,17
Guindalera,3,9
Guindalera,4,2
Hispanoamérica,0,1
Hispanoamérica,1,23
Hispanoamérica,2,11
Hispanoamérica,3,2
Hortaleza,0,5
Hortaleza,1,76
Hortaleza,2,11
Hortaleza,3,6
Hortaleza,4,6
Hortaleza,5,1
Hortaleza,6,1
Hortaleza,10,1
Ibiza,0,1
Ibiza,1,42
Ibiza,2,15
Ibiza,3,7
Ibiza,5,1
Imperial,0,2
Imperial,1,35
Imperial,2,19
Imperial,3,1
Jerónimos,0,1
Jerónimos,1,32
Jerónimos,2,13
Jerónimos,3,4
Jerónimos,4,3
Jerónimos,5,1
Justicia,0,63
Justicia,1,354
Justicia,2,106
Justicia,3,23
Justicia,4,8
Justicia,5,1
La Chopera,1,46
La Chopera,2,13
La Chopera,4,2
La Latina,N,1
La Latina,0,43
La Latina,1,535
La Latina,2,155
La Latina,3,59
La Latina,4,9
La Latina,5,5
Legazpi,1,25
Legazpi,2,4
Lista,0,2
Lista,1,49
Lista,2,21
Lista,3,3
Lista,4,5
Malasaña,0,82
Malasaña,1,593
Malasaña,2,176
Malasaña,3,28
Malasaña,4,10
Malasaña,5,1
Malasaña,6,3
Moncloa,0,2
Moncloa,1,30
Moncloa,2,5
Moncloa,3,2
Moratalaz,1,31
Moratalaz,2,3
Moratalaz,3,6
Moratalaz,4,3
Nueva España,0,2
Nueva España,1,22
Nueva España,2,10
Nueva España,4,3
Pacifico,0,3
Pacifico,1,67
Pacifico,2,20
Pacifico,3,9
Pacifico,4,3
Palacio,0,37
Palacio,1,236
Palacio,2,79
Palacio,3,27
Palacio,4,4
Palacio,5,1
Palacio,6,2
Palos do Moguer,0,7
Palos do Moguer,1,117
Palos do Moguer,2,39
Palos do Moguer,3,6
Palos do Moguer,4,1
Palos do Moguer,5,1
Prosperidad,0,2
Prosperidad,1,40
Prosperidad,2,11
Prosperidad,3,10
Prosperidad,4,2
Puente de Vallecas,0,4
Puente de Vallecas,1,91
Puente de Vallecas,2,17
Puente de Vallecas,3,10
Puente de Vallecas,4,2
Recoletos,0,16
Recoletos,1,55
Recoletos,2,29
Recoletos,3,9
Recoletos,4,4
Recoletos,5,2
Retiro,1,7
Retiro,2,3
Retiro,3,1
Rios Rosas,0,4
Rios Rosas,1,32
Rios Rosas,2,18
Rios Rosas,3,3
Rios Rosas,4,2
San Blas,0,4
San Blas,1,52
San Blas,2,7
San Blas,3,5
San Blas,5,1
Sol,0,80
Sol,1,417
Sol,2,165
Sol,3,39
Sol,4,13
Sol,5,2
Tetuán,1,1
Tetuán,3,3
Trafalgar,0,19
Trafalgar,1,99
Trafalgar,2,47
Trafalgar,3,24
Trafalgar,4,6
Trafalgar,5,4
Trafalgar,6,3
Usera,0,9
Usera,1,46
Usera,2,6
Usera,3,6
Valdeacederas,0,4
Valdeacederas,1,22
Valdeacederas,2,5
Vallehermosa,0,1
Vallehermosa,1,24
Vallehermosa,2,7
Vallehermosa,3,2
Vicálvaro,0,1
Vicálvaro,1,14
Vicálvaro,2,4
Villa de Vallecas,0,4
Villa de Vallecas,1,19
Villa de Vallecas,2,2
Villaverde,0,2
Villaverde,1,36
Villaverde,2,1
Villaverde,3,5
